Id,Filename,OnRelease
Default,default.jpg,
BothDown,bothdown.jpg,
BothOut,bothout.jpg,
BothUp,bothup.jpg,
LeftDown,leftdown.jpg,
LeftOut,leftout.jpg,
LeftUp,leftup.jpg
RightDown,rightdown.jpg,
RightOut,rightout.jpg,
RightUp,rightup.jpg,
LeftOutRightDown,leftoutrightdown.jpg,
LeftOutRightUp,leftoutrightup.jpg,
LeftUpRightDown,leftuprightdown.jpg,
LeftUpRightOut,leftuprightout.jpg
LeftDownRightOut,leftdownrightout.jpg,
LeftDownRightUp,leftdownrightup.jpg,
TiltLeft,tiltleft.jpg,
TiltRight,tiltright.jpg,
Float1,float1.jpg,Default
Float2,float2.jpg,Default
TipsyUL,tipsyUL.jpg
TipsyUR,tipsyUR.jpg
TipsyLL,tipsyLL.jpg
TipsyLR,tipsyLR.jpg
MidAir,midair.jpg
BothUpBothLegsOut,bothupbothlegsout.jpg
Float1BothDown,float1bothdown.jpg,Default
Float1BothOut,float1bothout.jpg,Default
Float1BothUp,float1bothup.jpg,Default
Float2BothDown,float2bothdown.jpg,Default
Float2BothOut,float2bothout.jpg,Default
Float2BothUp,float2bothup.jpg,Default
HangRight,hangright.jpg,Default
HangLeft,hangleft.jpg,Default
Help,help.jpg
Sleep1,sleep1.jpg
Sleep2,sleep2.jpg
