Id,Filename,OnRelease
Default,themes/5001/defaultimg_sm,
BothFwd,themes/5001/bothfwd_sm,
BothUpFloat,themes/5001/bothup_float_sm,Default
BothUp,themes/5001/bothup_sm,
Clap,themes/5001/clap_sm,
Float,themes/5001/floating_sm,Default
HeadDown1,themes/5001/headdown1_sm,
HeadDown2,themes/5001/headdown2_sm,
HeadDown3,themes/5001/headdown3_sm,
HeadLeft1,themes/5001/headleft1_sm,
HeadLeft2,themes/5001/headleft2_sm,
HeadRight1,themes/5001/headright1_sm,
HeadRight2,themes/5001/headright2_sm,
HeadUp,themes/5001/headup_sm,
LeftEar,themes/5001/leftear_sm,HeadDown3
RightEar,themes/5001/rightear_sm,HeadDown3
LHFwd,themes/5001/leftfwd_sm,
RHFwd,themes/5001/rightfwd_sm,
LHUp,themes/5001/lefthandup_sm,
RHUp,themes/5001/righthandup_sm,
LieLeft,themes/5001/lieleft_sm,
LieRight,themes/5001/lieright_sm,
OnHead,themes/5001/onhead_sm,
Rotate130,themes/5001/rotate130_sm,
Rotate300,themes/5001/rotate300_sm,
Rotate430,themes/5001/rotate430_sm,
Rotate730,themes/5001/rotate730_sm,
Rotate900,themes/5001/rotate900_sm,
Rotate1030,themes/5001/rotate1030_sm,
Rotate1200,themes/5001/rotate1200_sm,
Sleep1,themes/5001/sleep1_sm,
Sleep2,themes/5001/sleep2_sm,
SlightLeft,themes/5001/slightleft_sm,
SlightRight,themes/5001/slightright_sm,
HelpImg,themes/5001/help,
