Id,Filename,OnRelease
Default,themes/5004/default.png,
BothDown,themes/5004/bothdown.png,
BothOut,themes/5004/bothout.png,
BothUp,themes/5004/bothup.png,
LeftDown,themes/5004/leftdown.png,
LeftOut,themes/5004/leftout.png,
LeftUp,themes/5004/leftup.png
RightDown,themes/5004/rightdown.png,
RightOut,themes/5004/rightout.png,
RightUp,themes/5004/rightup.png,
LeftOutRightDown,themes/5004/leftoutrightdown.png,
LeftOutRightUp,themes/5004/leftoutrightup.png,
LeftUpRightDown,themes/5004/leftuprightdown.png,
LeftUpRightOut,themes/5004/leftuprightout.png
LeftDownRightOut,themes/5004/leftdownrightout.png,
LeftDownRightUp,themes/5004/leftdownrightup.png,
TiltLeft,themes/5004/tiltleft.png,
TiltRight,themes/5004/tiltright.png,
Float1,themes/5004/float1.png,Default
Float2,themes/5004/float2.png,Default
TipsyUL,themes/5004/tipsyUL.png
TipsyUR,themes/5004/tipsyUR.png
TipsyLL,themes/5004/tipsyLL.png
TipsyLR,themes/5004/tipsyLR.png
MidAir,themes/5004/midair.png
BothUpBothLegsOut,themes/5004/bothupbothlegsout.png
Float1BothDown,themes/5004/float1bothdown.png,Default
Float1BothOut,themes/5004/float1bothout.png,Default
Float1BothUp,themes/5004/float1bothup.png,Default
Float2BothDown,themes/5004/float2bothdown.png,Default
Float2BothOut,themes/5004/float2bothout.png,Default
Float2BothUp,themes/5004/float2bothup.png,Default
HangRight,themes/5004/hangright.png,Default
HangLeft,themes/5004/hangleft.png,Default
Help,themes/5004/help.png
Sleep1,themes/5004/sleep1.png
Sleep2,themes/5004/sleep2.png
